0x8000dafc __num2dec
0x8000dc9c __dec2num
0x8000e434 __prep_buffer
0x8000e45c __load_buffer
0x8000e558 __flush_buffer
0x8000e610 fread
0x8000e614 fwrite
0x8000e954 __fwrite
0x8000ec5c fclose
0x8000ed18 fflush
0x8000ee4c __msl_strnicmp
0x8000ef04 __fpclassifyf
0x8000ef64 __signbitd
0x8000ef7c __fpclassifyd
0x8000eff8 mbtowc
0x8000f010 __mbtowc_noconv
0x8000f05c __wctomb_noconv
0x8000f078 mbstowcs
0x8000f138 wcstombs
0x8000f1f0 memmove
0x8000f2bc memchr
0x8000f2e8 __memrchr
0x8000f314 memcmp
0x8000f360 __copy_longs_aligned
0x8000f41c __copy_longs_rev_aligned
0x8000f4c4 __copy_longs_unaligned
0x8000f584 __copy_longs_rev_unaligned
0x8000f630 __stdio_atexit
0x8000f640 parse_format2
0x8000fbfc long2str
0x8000fe34 longlong2str
0x800100e4 double2hex
0x800104b4 round_decimal
0x800105dc float2str
0x80010d74 __pformatter
0x80011620 __FileWrite
0x80011678 __StringWrite
0x800116e4 printf
0x800117b0 vprintf
0x8001182c vsnprintf
0x800118b4 vsprintf
0x80011938 snprintf
0x80011a2c sprintf
0x80011b00 qsort
0x80011c70 rand
0x80011c90 srand
0x80011c98 parse_format
0x80012320 __sformatter
0x80012fb8 __StringRead
0x80013040 sscanf
0x80013108 raise
0x80013120 strcpy
0x800131e0 strncpy
0x80013224 strcat
0x80013250 strncat
0x8001329c strcmp
0x800133b8 strncmp
0x800133f8 strchr
0x80013428 strcspn
0x800134cc strtok
0x800135f0 strstr
0x8001365c __strtold
0x80014990 atof
0x800149ec __strtoul
0x80014e00 __strtoull
0x800152a8 strtoul
0x80015350 strtol
0x8001543c atoi
0x80015500 __write_console
0x800155d0 __close_console
0x800155d8 fwide
0x80015650 wmemcpy
0x80015658 wmemchr
0x80016e1c __wpformatter
0x800177a8 __wStringWrite
0x80017814 swprintf
0x8001790c vswprintf
0x80017998 wcslen
0x800179b4 wcscpy
0x800179d0 wcsncpy
0x80017a14 wcscmp
0x80017a48 wcschr
0x80017a74 __ieee754_acos
0x80017d40 __ieee754_asin
0x80017fd8 __ieee754_atan2
0x80018230 __ieee754_fmod
0x80018560 __ieee754_log
0x80018814 __ieee754_log10
0x80018928 __ieee754_pow
0x8001913c __ieee754_rem_pio2
0x800194c0 __ieee754_sqrt
0x80019708 __kernel_cos
0x80019818 __kernel_rem_pio2
0x8001aed0 __kernel_sin
0x8001af90 __kernel_tan
0x8001b1e0 nan
0x8001b1e4 scalbn
0x8001b1e8 atan
0x8001b418 ceil
0x8001b564 copysign
0x8001b590 cos
0x8001b658 floor
0x8001b7a8 frexp
0x8001b830 ldexp
0x8001b99c modf
0x8001ba98 sin
0x8001bb64 tan
0x8001bbdc acos
0x8001bbe0 asin
0x8001bbe4 atan2
0x8001bbe8 fmod
0x8001bbec log10
0x8001bbf0 pow
0x8001bbf4 sqrt
0x8001bbf8 stricmp
0x8001bc98 strncasecmp
0x8001bc9c strcasecmp
0x8001bd3c unk_8001bd3c
0x8001bd44 unk_8001bd44
0x8001bd68 unk_8001bd68
0x8001be70 unk_8001be70
0x8001bf7c unk_8001bf7c
0x8001bfac unk_8001bfac
0x8001bfb4 unk_8001bfb4
0x8001c024 unk_8001c024
0x8001c0d8 unk_8001c0d8
0x8001c14c unk_8001c14c
0x8001c170 unk_8001c170
0x8001c194 unk_8001c194
0x8001c208 unk_8001c208
0x8001c22c unk_8001c22c
0x8001c34c unk_8001c34c
0x8001c3e4 InitMetroTRK_BBA
0x8001c478 thunk_unk_8001c8c0
0x8001c47c unk_8001c47c
0x8001c4e4 unk_8001c4e4
0x8001c618 unk_8001c618
0x8001c660 unk_8001c660
0x8001c670 unk_8001c670
0x8001c6f8 unk_8001c6f8
0x8001c730 unk_8001c730
0x8001c868 unk_8001c868
0x8001c86c unk_8001c86c
0x8001c8c0 unk_8001c8c0
0x8001c8ec unk_8001c8ec
0x8001c900 unk_8001c900
0x8001c93c unk_8001c93c
0x8001c978 unk_8001c978
0x8001c98c unk_8001c98c
0x8001c9b8 unk_8001c9b8
0x8001ca0c unk_8001ca0c
0x8001ca44 unk_8001ca44
0x8001ca80 unk_8001ca80
0x8001cb6c unk_8001cb6c
0x8001cca8 unk_8001cca8
0x8001cdd0 unk_8001cdd0
0x8001cf94 unk_8001cf94
0x8001d0f8 unk_8001d0f8
