name,type,start,end
init,code,80004000,80006460	
extab,data,80006460,80006A20	
extabindex,data,80006A20,800072C0	
text,code,800072C0,80244DE0	
ctors,data,80244DE0,80244E90	
dtors,data,80244EA4,80244EAC	
rodata,data,80244EC0,80258580	
data,data,80258580,802A4040	
bss,bss,802A4080,80384C00	
sdata,data,80384C00,80385FC0	
sbss,bss,80385FC0,80386FA0	
sdata2,data,80386FA0,80389140	
sbss2,bss,80389140,8038917C	
